Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P;2P;2PA;2P;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
3;Steven Adams;C;22;OKC;52;52;24.9;2.8;4.8;0.59;0;0;;2.8;4.8;0.59;0.59;1.6;2.6;0.607;2.5;3.8;6.3;0.7;0.4;1.2;1;2.8;7.2
5;Alexis Ajinca;C;27;NOP;41;6;12.3;2;4;0.497;0;0;0;2;4;0.5;0.497;0.6;0.7;0.821;1.1;3;4.1;0.4;0.3;0.5;0.5;2.2;4.6
6;Cole Aldrich;C;27;LAC;31;2;11.5;2.1;3.9;0.533;0;0;;2.1;3.9;0.533;0.533;1.3;1.9;0.661;1.1;2.7;3.8;0.9;0.6;0.7;0.9;2.2;5.4
13;Chris Andersen;C;37;MIA;7;1;5.1;0.6;1.4;0.4;0.3;0.7;0.4;0.3;0.7;0.4;0.5;0.4;0.6;0.75;0.4;0.9;1.3;0.4;0.1;0.4;0.3;0.6;1.9
21;Joel Anthony;C;33;DET;13;0;4;0.2;0.4;0.4;0;0;;0.2;0.4;0.4;0.4;0.4;0.5;0.833;0.5;0.6;1.2;0.1;0.2;0.3;0.1;0.6;0.7
25;Omer Asik;C;29;NOP;46;42;17.4;1.4;2.6;0.542;0;0;;1.4;2.6;0.542;0.542;0.8;1.5;0.557;1.9;4.2;6.1;0.3;0.2;0.5;0.9;1.9;3.6
27;Jeff Ayres;C;28;LAC;5;0;2.8;0.4;0.4;1;0;0;;0.4;0.4;1;1;0.4;0.4;1;0.2;0.4;0.6;0.4;0;0.6;0.2;0.4;1.2
29;Cameron Bairstow;C;25;CHI;14;1;6.1;0.6;2.4;0.242;0;0.3;0;0.6;2.1;0.276;0.242;0.3;0.3;1;0.3;1.5;1.8;0.4;0.1;0.2;0.1;1.1;1.4
32;Andrea Bargnani;C;30;BRK;46;0;13.8;2.8;6.1;0.455;0.1;0.3;0.188;2.7;5.7;0.471;0.461;1;1.2;0.825;0.6;1.5;2.1;0.4;0.1;0.2;0.6;1.3;6.6
39;Aron Baynes;C;29;DET;53;0;14.3;2.2;4.6;0.492;0;0;0;2.2;4.5;0.496;0.492;1.2;1.7;0.75;1.7;2.8;4.5;0.8;0.3;0.6;0.9;1.8;5.7
45;Bismack Biyombo;C;23;TOR;52;18;22.5;1.8;3.4;0.514;0;0;;1.8;3.4;0.514;0.514;1.9;2.8;0.674;2.2;5.9;8.1;0.3;0.2;1.6;1;2.8;5.4
47;Tarik Black;C;24;LAL;20;0;12.4;1.5;2.6;0.577;0;0;;1.5;2.6;0.577;0.577;0.5;1.3;0.4;1.1;3.2;4.2;0.3;0.3;0.4;0.5;2.2;3.5
48;DeJuan Blair;C;26;WAS;29;0;7.5;1;2.3;0.412;0;0;0;1;2.3;0.418;0.412;0.2;0.4;0.385;0.7;1.3;2;0.4;0.3;0.1;0.5;1.8;2.1
52;Andrew Bogut;C;31;GSW;45;41;20.9;2.6;4.2;0.615;0;0;;2.6;4.2;0.615;0.615;0.3;0.8;0.405;1.8;5.7;7.5;2.1;0.4;1.7;1.1;3.1;5.4
53;Matt Bonner;C;35;SAS;20;1;5.7;0.9;1.6;0.548;0.5;0.9;0.529;0.4;0.7;0.571;0.694;0.2;0.2;0.75;0.2;0.8;0.9;0.3;0.3;0;0.1;0.4;2.3
75;Clint Capela;C;21;HOU;53;35;20.9;3.1;5.4;0.57;0;0;;3.1;5.4;0.57;0.57;1.1;2.8;0.395;2.6;4.3;6.9;0.7;0.8;1.2;1;2.7;7.2
80;Willie Cauley-Stein;C;22;SAC;39;29;20.4;2.6;4.3;0.605;0;0;;2.6;4.3;0.605;0.605;1.1;1.8;0.586;2.1;3.4;5.5;0.4;0.6;1.2;0.7;2.4;6.2
82;Tyson Chandler;C;33;PHO;45;39;23.5;2.1;4.1;0.522;0;0;0;2.1;4.1;0.525;0.522;1.6;2.5;0.637;2.6;5.9;8.5;1;0.5;0.6;1.2;2;5.9
92;DeMarcus Cousins;C;25;SAC;44;44;34.3;9.1;20.5;0.445;1.2;3.4;0.349;7.9;17.1;0.464;0.474;7.4;10.2;0.725;2.3;8.8;11.1;3.2;1.3;1.3;3.7;3.7;26.8
105;Dewayne Dedmon;C;26;ORL;33;4;10.4;1.1;2.3;0.48;0;0;;1.1;2.3;0.48;0.48;0.8;1.1;0.73;0.9;2.3;3.2;0.2;0.3;0.8;0.5;1.8;3
112;Gorgui Dieng;C;26;MIN;54;11;25.5;3.5;6.5;0.535;0;0.2;0.222;3.5;6.4;0.544;0.538;2.3;2.9;0.818;1.9;5.1;7.1;1.6;1.1;1;1.9;2.7;9.4
116;Andre Drummond;C;22;DET;54;54;33.7;7.1;13.8;0.518;0;0.1;0.4;7.1;13.7;0.519;0.52;2.7;7.6;0.351;5;9.9;14.9;0.8;1.6;1.5;2.1;3.1;17
118;Tim Duncan;C;39;SAS;38;38;25.7;3.6;7.2;0.498;0;0.1;0;3.6;7.2;0.502;0.498;1.6;2.1;0.747;1.7;5.8;7.5;3;0.9;1.4;1.7;2.3;8.8
129;Festus Ezeli;C;26;GSW;40;11;17.8;2.9;5.3;0.557;0;0;;2.9;5.3;0.557;0.557;1.7;3.1;0.532;2.1;3.8;5.9;0.8;0.4;1.2;0.9;2.3;7.5
132;Cristiano Felicio;C;23;CHI;7;0;2.7;0.1;0.3;0.5;0;0.1;0;0.1;0.1;1;0.5;0.1;0.3;0.5;0;0.1;0.1;0.6;0;0;0.1;0.3;0.4
138;Channing Frye;C;32;ORL;44;29;17.1;1.8;4.2;0.435;1.1;2.8;0.397;0.8;1.5;0.508;0.565;0.4;0.5;0.905;0.5;2.7;3.2;1;0.5;0.5;0.7;1.6;5.2
142;Marc Gasol;C;31;MEM;52;52;34.4;6.3;13.6;0.464;0;0.1;0.667;6.3;13.5;0.463;0.465;3.9;4.7;0.829;1.1;5.8;7;3.8;1;1.3;2.3;2.7;16.6
143;Pau Gasol;C;35;CHI;49;49;31.9;6.8;14.1;0.479;0.3;0.8;0.41;6.4;13.3;0.483;0.491;3.1;3.9;0.806;2.2;8.6;10.9;3.4;0.6;2;2.1;2;17
149;Rudy Gobert;C;23;UTA;32;31;33.3;3.8;6.3;0.6;0;0;;3.8;6.3;0.6;0.6;2.8;4.6;0.623;3.1;7.4;10.5;1.7;0.9;2.4;1.7;3;10.3
154;Marcin Gortat;C;31;WAS;45;45;31.2;5.7;10.6;0.541;0;0;0;5.7;10.5;0.542;0.541;2.1;2.8;0.738;2.8;7.2;9.9;1.5;0.7;1.3;1.9;2.6;13.5
177;Chuck Hayes;C;32;HOU;2;0;12;0.5;1;0.5;0;0;;0.5;1;0.5;0.5;1;1;1;0;4;4;1;0;0;1.5;3;2
180;John Henson;C;25;MIL;42;1;16.7;2.9;4.8;0.591;0;0;;2.9;4.8;0.591;0.591;1;2;0.537;1.5;2.5;3.9;1;0.3;2;1.1;2.4;6.8
182;Roy Hibbert;C;29;LAL;54;54;24.4;2.4;5.5;0.444;0;0;0;2.4;5.5;0.447;0.444;1.7;2;0.826;1.7;3.6;5.2;1.4;0.4;1.5;1.1;3.1;6.6
183;J.J. Hickson;C;27;DEN;20;9;15.3;2.8;5.5;0.505;0;0;;2.8;5.5;0.505;0.505;1.4;3;0.458;1.1;3.3;4.4;0.8;0.5;0.6;0.8;1.8;6.9
192;Ryan Hollins;C;31;TOT;19;3;10.8;1.1;1.9;0.583;0;0;;1.1;1.9;0.583;0.583;0.6;0.8;0.8;1.1;1.2;2.3;0.4;0.1;0.5;0.5;1.7;2.8
192;Ryan Hollins;C;31;WAS;5;3;9.6;0.8;1.4;0.571;0;0;;0.8;1.4;0.571;0.571;0;0;;1.4;0.8;2.2;0;0;0.2;0.6;0.8;1.6
192;Ryan Hollins;C;31;MEM;14;0;11.2;1.2;2.1;0.586;0;0;;1.2;2.1;0.586;0.586;0.9;1.1;0.8;1;1.4;2.4;0.5;0.1;0.6;0.5;2;3.3
196;Al Horford;C;29;ATL;55;55;31.6;6.5;12.8;0.507;1;2.9;0.34;5.5;9.9;0.557;0.546;1.3;1.6;0.778;1.9;4.9;6.9;3.1;0.8;1.5;1.3;2;15.3
197;Dwight Howard;C;30;HOU;44;44;32.3;5.4;8.8;0.612;0;0.1;0;5.4;8.7;0.617;0.612;3.8;7.1;0.532;3.6;8.4;12;1.5;1;1.5;2.5;3.1;14.6
210;Al Jefferson;C;31;CHO;19;17;25.2;5.6;11.7;0.482;0;0;;5.6;11.7;0.482;0.482;1.3;2.2;0.571;1.2;4.9;6.1;1.6;0.7;1.1;0.7;2.4;12.5
224;Nikola Jokic;C;20;DEN;52;27;20;3.7;7;0.526;0.3;0.8;0.39;3.4;6.2;0.543;0.548;1.8;2.3;0.788;2.2;3.7;5.9;1.9;1;0.5;1.2;2.4;9.5
228;DeAndre Jordan;C;27;LAC;51;51;33.9;4.4;6.2;0.703;0;0;;4.4;6.2;0.703;0.703;3.4;8;0.423;3.7;10.3;14;1.1;0.5;2.3;1.2;2.7;12.1
230;Chris Kaman;C;33;POR;8;2;8;1.3;3.5;0.357;0;0.1;0;1.3;3.4;0.37;0.357;0;0;;0.4;0.8;1.1;0.6;0;0;0.6;0.8;2.5
231;Frank Kaminsky;C;22;CHO;52;0;21.4;2.7;6.7;0.401;0.8;2.5;0.326;1.9;4.2;0.445;0.461;1.4;2;0.735;0.8;3.2;4;1.4;0.4;0.6;0.8;1.6;7.6
232;Enes Kanter;C;23;OKC;54;0;20.8;4.7;8.5;0.56;0.1;0.2;0.4;4.7;8.3;0.564;0.565;2.4;3;0.784;2.9;4.8;7.7;0.5;0.2;0.5;1.3;2;11.9
234;Sasha Kaun;C;30;CLE;10;0;4.2;0.3;0.5;0.6;0;0;;0.3;0.5;0.6;0.6;0.3;0.6;0.5;0.8;0.3;1.1;0.2;0.2;0.2;0.6;0.7;0.9
244;Joffrey Lauvergne;C;24;DEN;32;15;17.6;3.1;6.3;0.49;0.4;1.1;0.343;2.7;5.2;0.521;0.52;0.9;1.1;0.882;1.5;3.6;5.1;1;0.3;0.3;0.9;2;7.5
249;Alex Len;C;22;PHO;51;20;19.5;2.7;5.8;0.458;0;0.1;0.25;2.6;5.7;0.461;0.46;1.6;2.2;0.721;1.9;4.3;6.2;0.9;0.5;0.9;1.4;2.6;6.9
257;Brook Lopez;C;27;BRK;54;54;33.7;8;15.9;0.502;0;0.1;0;8;15.7;0.506;0.502;4.3;5.5;0.78;2.9;5.3;8.2;1.6;0.8;1.8;2.3;2.9;20.2
258;Robin Lopez;C;27;NYK;55;55;25.5;4;7.5;0.53;0;0;;4;7.5;0.53;0.53;1.4;1.7;0.802;2.8;3.6;6.4;1.4;0.2;1.4;1.5;2.5;9.3
263;Ian Mahinmi;C;29;IND;44;44;24.1;3.3;5.5;0.597;0;0;;3.3;5.5;0.597;0.597;1.8;3.2;0.576;2.1;4.9;7;1.3;0.9;1;1.2;3.1;8.4
265;Boban Marjanovic;C;27;SAS;34;1;8.7;2;3.2;0.609;0;0;;2;3.2;0.609;0.609;1.8;2.4;0.741;1.4;2.3;3.6;0.4;0.3;0.4;0.6;1.1;5.7
280;JaVale McGee;C;28;DAL;32;2;11.1;2.4;4.1;0.585;0;0;0;2.4;4;0.589;0.585;0.6;1.1;0.5;1.6;2.5;4.1;0.1;0.2;0.8;0.7;1.5;5.3
285;Salah Mejri;C;29;DAL;14;3;10.7;1.4;2.1;0.667;0;0;;1.4;2.1;0.667;0.667;0.9;1.4;0.684;1;1.9;2.9;0.1;0.1;0.6;0.6;1.3;3.8
295;Greg Monroe;C;25;MIL;52;50;30.5;6.8;13;0.521;0;0;;6.8;13;0.521;0.521;3.2;4.2;0.745;3.1;6.6;9.7;2.3;0.9;0.9;1.7;2.2;16.7
303;Timofey Mozgov;C;29;CLE;49;31;17.5;2.7;5;0.543;0;0.1;0.143;2.7;4.8;0.555;0.545;0.9;1.3;0.71;1.4;2.8;4.2;0.5;0.3;0.7;0.9;2.1;6.3
313;Joakim Noah;C;30;CHI;29;2;21.9;1.8;4.6;0.383;0;0;0;1.8;4.6;0.386;0.383;0.8;1.6;0.489;3;5.8;8.8;3.8;0.6;1;1.8;2.7;4.3
315;Lucas Nogueira;C;23;TOR;18;0;7.4;1.1;1.6;0.69;0.1;0.1;0.5;1.1;1.5;0.704;0.707;0.3;0.5;0.667;0.5;0.9;1.4;0.2;0.5;0.3;0.3;1.1;2.6
318;Jusuf Nurkic;C;21;DEN;17;0;13.8;2.4;6.6;0.354;0;0.1;0;2.4;6.5;0.36;0.354;1.8;2.8;0.638;1.6;3.4;5.1;0.8;0.4;0.9;1.1;2.4;6.5
322;Jahlil Okafor;C;20;PHI;47;42;30.4;7.3;14.9;0.494;0;0.1;0;7.3;14.8;0.496;0.494;2.5;3.6;0.682;2.4;5;7.4;1.2;0.4;1.2;2.3;2.6;17.1
324;Kelly Olynyk;C;24;BOS;54;8;20.3;3.8;8.3;0.461;1.3;3.1;0.413;2.5;5.2;0.489;0.538;1.2;1.7;0.728;1.1;3.2;4.3;1.6;0.8;0.6;1.2;2.4;10.1
326;Zaza Pachulia;C;31;DAL;50;50;29.6;3.3;7.1;0.472;0;0;0;3.3;7;0.474;0.472;3.3;4.4;0.755;3.6;7.1;10.7;2;1;0.3;1.8;2.6;10
337;Nikola Pekovic;C;30;MIN;12;3;13;1.6;4.2;0.38;0;0;;1.6;4.2;0.38;0.38;1.3;1.7;0.8;0.6;1.2;1.8;0.9;0.1;0;0.8;1.8;4.5
338;Kendrick Perkins;C;31;NOP;10;3;8.9;1.3;1.6;0.813;0;0;;1.3;1.6;0.813;0.813;0.1;0.4;0.25;0.6;1.3;1.9;0.5;0;0.2;0.8;1;2.7
340;Tibor Pleiss;C;26;UTA;12;0;6.8;0.9;2.1;0.44;0;0.2;0;0.9;1.9;0.478;0.44;0.2;0.2;1;0.5;0.8;1.3;0.2;0.1;0.2;0.7;1.6;2
341;Mason Plumlee;C;25;POR;54;54;25.5;3.4;6.6;0.511;0;0;0;3.4;6.5;0.514;0.511;2.4;3.8;0.62;2.6;5;7.6;2.6;0.8;1;2;3.1;9.1
342;Miles Plumlee;C;27;MIL;33;3;9.5;1.3;2.3;0.587;0;0;;1.3;2.3;0.587;0.587;0.3;0.5;0.733;1;1.5;2.5;0.2;0.2;0.7;0.5;0.9;3
371;Robert Sacre;C;26;LAL;18;1;12.8;1.1;2.7;0.388;0;0;;1.1;2.7;0.388;0.388;0.7;1.2;0.545;1;1.3;2.3;0.6;0.1;0.6;0.5;1.8;2.8
377;Kevin Seraphin;C;26;NYK;34;0;10.5;1.7;4.2;0.41;0;0;0;1.7;4.2;0.413;0.41;0.3;0.4;0.733;0.7;1.5;2.2;1.1;0.2;0.7;1;1.4;3.8
386;Jason Smith;C;29;ORL;46;0;15;2.8;5.5;0.516;0.1;0.3;0.25;2.8;5.2;0.529;0.522;0.5;0.6;0.893;0.6;1.8;2.4;0.7;0.4;0.8;0.8;1.9;6.3
391;Tiago Splitter;C;31;ATL;36;2;16.1;2.3;4.3;0.523;0;0.1;0;2.3;4.3;0.529;0.523;1.1;1.3;0.813;1.3;2.1;3.3;0.8;0.6;0.3;0.7;2;5.6
394;Jarnell Stokes;C;22;TOT;7;0;2.6;0.4;0.7;0.6;0;0;;0.4;0.7;0.6;0.6;0.1;0.3;0.5;0.1;0.4;0.6;0.1;0.1;0;0;0.1;1
394;Jarnell Stokes;C;22;MEM;2;0;2;0;0;;0;0;;0;0;;;0;0;;0.5;0.5;1;0;0;0;0;0;0
394;Jarnell Stokes;C;22;MIA;5;0;2.8;0.6;1;0.6;0;0;;0.6;1;0.6;0.6;0.2;0.4;0.5;0;0.4;0.4;0.2;0.2;0;0;0.2;1.4
395;Amar'e Stoudemire;C;33;MIA;25;10;14.2;2.2;4.2;0.519;0;0;;2.2;4.2;0.519;0.519;1.1;1.5;0.73;1.3;3.2;4.5;0.7;0.4;0.8;0.9;1.3;5.4
398;Walter Tavares;C;23;ATL;10;0;6.9;1;1.8;0.556;0;0;;1;1.8;0.556;0.556;0.3;0.8;0.375;0.7;1.3;2;0.2;0.1;0.6;0.5;0.8;2.3
406;Jason Thompson;C;29;GSW;26;1;6.6;0.8;1.6;0.488;0;0;;0.8;1.6;0.488;0.488;0.7;1.1;0.643;0.3;1.7;2;0.7;0.1;0.3;0.3;1.5;2.2
411;Karl-Anthony Towns;C;20;MIN;54;54;30.1;7;12.9;0.544;0.3;0.9;0.375;6.7;12.1;0.556;0.557;2.7;3.1;0.852;2.8;7.4;10.1;1.4;0.6;1.8;2.1;3;17.1
414;Myles Turner;C;19;IND;31;8;20.3;4.2;7.9;0.533;0;0.1;0;4.2;7.9;0.537;0.533;1.5;2.3;0.648;1.2;3.8;5;0.5;0.3;1.4;0.8;2.3;9.9
416;Jonas Valanciunas;C;23;TOR;35;34;26.2;4.8;8.7;0.549;0;0;;4.8;8.7;0.549;0.549;2.8;3.8;0.742;3.3;6.1;9.4;0.9;0.4;1.2;1.5;2.5;12.3
417;Anderson Varejao;C;33;CLE;31;0;10;1;2.5;0.421;0;0;0;1;2.4;0.427;0.421;0.5;0.7;0.762;0.8;2.2;2.9;0.6;0.4;0.2;0.5;1.1;2.6
422;Nikola Vucevic;C;25;ORL;49;48;31.9;7.8;15.7;0.498;0;0.1;0.143;7.8;15.6;0.501;0.499;1.4;1.9;0.747;2.9;6;8.9;3;0.8;1.1;1.9;2.6;17
433;Hassan Whiteside;C;26;MIA;45;40;28.2;5.1;8.2;0.617;0;0;;5.1;8.2;0.617;0.617;2;3.7;0.552;3;8;11;0.3;0.5;3.9;2;2.5;12.2
444;Jeff Withey;C;25;UTA;38;9;14.7;1.9;3.5;0.545;0;0;0;1.9;3.4;0.55;0.545;1;1.4;0.717;1.3;2.6;3.9;0.4;0.5;1.3;0.7;1.6;4.8
454;Cody Zeller;C;23;CHO;45;32;24.8;3.2;6.4;0.493;0;0.2;0.1;3.1;6.2;0.507;0.495;2.4;3.3;0.733;1.8;4.4;6.2;0.9;0.9;0.7;1;3;8.8
455;Tyler Zeller;C;26;BOS;37;3;10;2.2;4.3;0.506;0;0;;2.2;4.3;0.506;0.506;0.9;1.3;0.745;0.9;1.8;2.7;0.5;0.2;0.2;0.9;1.5;5.3
1;Quincy Acy;PF;25;SAC;30;7;11.1;1.4;2.5;0.553;0.2;0.4;0.417;1.2;2.1;0.578;0.586;0.6;0.8;0.76;1.3;1.5;2.8;0.3;0.4;0.4;0.3;1.3;3.6
7;LaMarcus Aldridge;PF;30;SAS;49;49;29.7;6.9;13.7;0.504;0;0.2;0;6.9;13.4;0.513;0.504;3.3;3.9;0.838;2.5;5.9;8.4;1.4;0.3;1;1.3;2.1;17
8;Cliff Alexander;PF;20;POR;7;0;4.4;0.7;1.4;0.5;0;0;;0.7;1.4;0.5;0.5;0;0;;0.3;0.6;0.9;0;0.1;0.3;0.1;0;1.4
9;Lavoy Allen;PF;26;IND;52;21;21.7;2.6;5.2;0.5;0;0;;2.6;5.2;0.5;0.5;0.4;0.8;0.575;2.2;3.6;5.7;1;0.4;0.6;1;1.8;5.7
12;Lou Amundson;PF;33;NYK;22;0;7.4;0.9;2;0.442;0;0;;0.9;2;0.442;0.442;0.5;1;0.435;0.8;1.1;1.9;0.4;0.2;0.2;0.4;1.7;2.2
17;Ryan Anderson;PF;27;NOP;51;6;31;5.9;13.7;0.431;2.1;5.4;0.383;3.8;8.3;0.461;0.506;2.8;3.3;0.862;1.9;4;5.9;1.1;0.6;0.4;1.5;1.6;16.7
24;Darrell Arthur;PF;27;DEN;46;10;20.7;3;6.6;0.459;0.4;1.1;0.36;2.7;5.5;0.478;0.489;0.6;0.7;0.813;1.2;2.8;4;1.3;0.8;0.7;0.9;2.5;7
36;Brandon Bass;PF;30;LAL;47;0;19.1;2.4;4.5;0.526;0;0;0;2.4;4.5;0.529;0.526;1.5;1.8;0.845;1.6;2.6;4.2;1.2;0.5;0.8;0.6;1.9;6.2
43;Anthony Bennett;PF;22;TOR;15;0;4.9;0.4;1.5;0.261;0.1;0.9;0.154;0.3;0.7;0.4;0.304;0.6;0.7;0.9;0.4;1;1.4;0;0.3;0;0.3;0.5;1.5
46;Nemanja Bjelica;PF;27;MIN;46;0;17.9;1.6;3.7;0.429;0.7;2.1;0.354;0.8;1.6;0.527;0.529;0.5;0.8;0.658;0.7;2.5;3.2;1.3;0.4;0.3;0.7;2.6;4.5
55;Trevor Booker;PF;28;UTA;50;2;22.4;2.3;5.1;0.458;0.1;0.5;0.25;2.2;4.6;0.48;0.47;0.9;1.2;0.71;2.5;3.8;6.3;1;0.9;0.5;1.3;2.4;5.6
56;Chris Bosh;PF;31;MIA;53;53;33.5;6.8;14.5;0.467;1.5;4.2;0.365;5.2;10.3;0.508;0.52;4;5.1;0.795;0.9;6.5;7.4;2.4;0.7;0.6;1.5;1.9;19.1
87;Nick Collison;PF;35;OKC;44;2;12.1;0.9;1.9;0.447;0;0;0;0.9;1.9;0.458;0.447;0.5;0.7;0.724;1.3;1.6;2.9;0.8;0.3;0.3;0.8;1.9;2.2
90;Chris Copeland;PF;31;MIL;24;1;6.5;0.7;2.1;0.333;0.4;1.5;0.278;0.3;0.6;0.467;0.431;0.3;0.3;0.857;0;0.4;0.4;0.5;0.1;0;0.3;0.7;2.1
102;Anthony Davis;PF;22;NOP;47;47;35.4;9;18;0.499;0.5;1.6;0.299;8.5;16.3;0.52;0.513;4.9;6.7;0.738;2.1;7.9;10;1.9;1.3;2.2;2;2.4;23.4
103;Ed Davis;PF;26;POR;53;0;21.4;2.5;4.2;0.605;0;0;;2.5;4.2;0.605;0.605;1.5;2.7;0.552;2.9;4.4;7.3;1.1;0.6;0.7;0.8;2.5;6.6
104;Branden Dawson;PF;22;LAC;2;0;6.5;0.5;1.5;0.333;0;0;;0.5;1.5;0.333;0.333;0;0;;1;0.5;1.5;0;0;0.5;0;1;1
111;Boris Diaw;PF;33;SAS;53;1;18.9;2.7;5.2;0.518;0.4;1;0.396;2.3;4.2;0.547;0.556;0.8;1.1;0.724;0.8;2.5;3.3;2.5;0.4;0.2;1.2;1.4;6.6
117;Jared Dudley;PF;30;WAS;50;33;28.9;3.2;6.6;0.486;1.5;3.2;0.466;1.7;3.4;0.506;0.6;1;1.4;0.765;0.7;3.1;3.7;2.1;1;0.2;1.1;2.3;8.9
125;James Ennis;PF;25;MIA;3;0;2.3;0;0;;0;0;;0;0;;;0;0;;0;0;0;0.3;0;0;0;0.3;0
130;Kenneth Faried;PF;26;DEN;47;45;26.3;5.2;9.4;0.555;0;0;0;5.2;9.4;0.557;0.555;2.1;3.5;0.584;3.5;5.4;8.9;1.2;0.4;1;1.4;2.6;12.5
131;Derrick Favors;PF;24;UTA;35;33;32.4;6.7;13.1;0.516;0;0.1;0;6.7;13;0.519;0.516;3.1;4.6;0.675;2.9;5.5;8.5;1.5;1.3;1.3;1.6;2.6;16.6
141;Kevin Garnett;PF;39;MIN;38;38;14.6;1.4;3;0.47;0;0;0;1.4;3;0.474;0.47;0.4;0.6;0.667;0.4;3.6;3.9;1.6;0.7;0.3;0.4;1.8;3.2
146;Paul George;PF;25;IND;53;53;35.4;7.4;17.9;0.412;2.8;7.2;0.385;4.6;10.7;0.43;0.489;5.8;6.8;0.858;1;6.2;7.1;4;1.8;0.3;3.7;3;23.3
147;Taj Gibson;PF;30;CHI;52;34;26.5;3.4;6.7;0.506;0;0.1;0;3.4;6.6;0.51;0.506;1.3;1.9;0.663;2.9;4.3;7.2;1.3;0.5;1.1;1.1;2.5;8
150;Drew Gooden;PF;34;WAS;22;0;12.4;1.3;3.9;0.329;0.3;1.5;0.212;1;2.4;0.404;0.371;0.3;0.5;0.7;1.2;2.2;3.4;0.6;0.3;0.4;0.5;1.5;3.2
152;Aaron Gordon;PF;20;ORL;51;11;21.8;2.9;6.2;0.465;0.5;1.5;0.299;2.4;4.7;0.519;0.502;1.5;2.2;0.684;1.9;4.2;6.1;1.4;0.6;0.8;0.8;1.8;7.7
158;Draymond Green;PF;25;GSW;51;51;34.1;5;10.3;0.485;1.3;3.2;0.42;3.6;7.1;0.514;0.55;2.9;4.2;0.676;1.8;7.7;9.5;7.2;1.3;1.3;2.9;3;14.2
161;JaMychal Green;PF;25;MEM;49;3;14.6;2.1;4.2;0.502;0.2;0.4;0.556;1.9;3.8;0.497;0.527;1.1;1.4;0.771;1.1;2.7;3.9;0.4;0.3;0.3;1;2.2;5.5
163;Blake Griffin;PF;26;LAC;30;30;34.9;9.4;18.4;0.508;0.2;0.6;0.353;9.2;17.9;0.513;0.514;4.3;5.9;0.725;1.6;7;8.7;5;0.7;0.6;2.4;2.8;23.2
165;Tyler Hansbrough;PF;30;CHO;29;0;9.3;0.8;2;0.421;0.1;0.1;0.667;0.8;1.9;0.407;0.439;0.9;1.6;0.553;1.2;1.3;2.6;0.2;0.4;0.2;0.4;1.5;2.6
169;Montrezl Harrell;PF;22;HOU;28;1;10;1.3;2;0.649;0;0;;1.3;2;0.649;0.649;0.7;1.4;0.526;0.6;1.1;1.7;0.4;0.3;0.3;0.5;1.4;3.4
173;Tobias Harris;PF;23;ORL;49;49;32.9;5.1;11;0.464;1;3.1;0.311;4.2;8;0.523;0.507;2.4;3.1;0.784;1.5;5.5;7;2;1;0.6;1.6;1.9;13.7
175;Udonis Haslem;PF;35;MIA;25;0;8;0.6;1.7;0.349;0;0.3;0.143;0.6;1.4;0.389;0.36;0.3;0.4;0.889;0.3;1.9;2.2;0.5;0.2;0.1;0.2;0.7;1.6
176;Spencer Hawes;PF;27;CHO;47;6;19.1;2.3;5.5;0.408;0.7;2;0.348;1.6;3.6;0.44;0.469;1;1.2;0.839;0.8;3.6;4.4;2;0.4;0.4;1.1;2.1;6.2
